"timestamp","question 1","question 2","question 3","question 4","question 5","question 6","question 7","question 8","question 9","question 10","question 11","question 12","question 13","question 14"
"2022/09/02 2:28:37 PM GMT+2","A","3","1","4","1","1","2","2","1","6","6","C","C","A"
"2022/09/02 2:28:38 PM GMT+2","B","3","4","4","4","6","6","6","6","6","2","B","B","B"
"2022/09/02 2:28:38 PM GMT+2","C","1","1","7","7","5","4","5","6","3","1","B","C","C"
"2022/09/02 2:28:38 PM GMT+2","C","5","7","7","6","3","6","1","5","6","2","B","B","C"
"2022/09/02 2:28:39 PM GMT+2","C","2","2","7","7","6","2","4","2","5","4","A","A","B"
"2022/09/02 2:28:39 PM GMT+2","A","4","1","2","6","2","5","5","6","5","2","C","C","A"
"2022/09/02 2:28:39 PM GMT+2","C","1","6","6","6","4","1","1","1","7","6","A","B","A"
"2022/09/02 2:28:40 PM GMT+2","A","4","1","6","7","4","5","6","7","2","2","A","C","C"
"2022/09/02 2:28:40 PM GMT+2","B","7","7","7","7","7","3","5","3","3","5","B","A","C"
"2022/09/02 2:28:40 PM GMT+2","A","5","2","5","3","4","4","6","6","2","4","C","B","C"
"2022/09/02 2:28:41 PM GMT+2","B","1","3","6","5","6","6","6","5","6","1","A","A","C"
"2022/09/02 2:28:42 PM GMT+2","A","3","1","6","4","5","5","6","6","1","2","B","A","B"
"2022/09/02 2:28:42 PM GMT+2","A","5","3","7","7","7","2","3","3","4","7","C","B","C"
"2022/09/02 2:28:42 PM GMT+2","C","4","6","7","6","6","4","5","4","5","6","B","C","A"
"2022/09/02 2:28:43 PM GMT+2","B","1","4","2","6","7","3","4","7","7","3","B","C","B"
"2022/09/02 2:28:44 PM GMT+2","C","2","4","5","6","7","2","6","3","4","4","A","A","C"
"2022/09/02 2:28:44 PM GMT+2","B","1","1","5","4","3","4","6","6","6","1","C","C","B"
"2022/09/02 2:28:44 PM GMT+2","A","2","7","6","7","7","3","7","6","1","4","B","B","A"
"2022/09/02 2:28:45 PM GMT+2","B","1","1","2","2","6","6","4","5","6","3","B","B","C"
